Title,Rating
413. The Italian Job,6.6
414. Dungeons & Dragons,6.6
415. God Is a Bullet,6.6
416. X-Men: The Last Stand,6.6
"417. I, Robot",6.6
418. Captain Phillips,6.6
419. Patriots Day,6.6
420. Noah,6.6
421. Anna,6.6
422. The Covenant,6.6
423. Lou,6.6
424. Warrior,6.6
425. Enola Holmes,6.6
426. Thor: The Dark World,6.6
427. Smokey and the Bandit,6.6
428. WarGames,6.6
429. Batman Forever,6.6
430. Poker Face,6.6
431. King Arthur,6.6
432. Natural Born Killers,6.6
433. The Hunger Games: Mockingjay - Part 2,6.6
434. Infinite,6.6
435. Mortal Kombat 2,6.6
436. Code 8,6.6
437. The Longest Day,6.6
438. Mononoke-hime,6.6
439. The Last Stand,6.6
440. Becky,6.6
441. The Old Guard,6.6
442. Upgrade,6.6
443. The Bourne Supremacy,6.6
444. Anaconda,6.6
445. Godzilla: King of the Monsters,6.6
446. Immortals,6.6
447. Minority Report,6.6
448. Long ma jing shen,6.6
449. Midway,6.6
450. The Incredible Hulk,6.6
451. The Shallows,7.7
452. The Blues Brothers,7.7
453. Resident Evil: Welcome to Raccoon City,7.7
454. Jungle Cruise,7.7
455. Godzilla,7.7
456. Jurassic World: Fallen Kingdom,7.7
457. 2012,7.7
458. Spy,7.7
459. Robin Hood,7.7
460. Hellboy,7.7
461. The Last Samurai,7.7
462. X-Men Origins: Wolverine,7.7
463. We Were Soldiers,7.7
464. Eye in the Sky,7.7
465. Banshee,7.7
466. It's a Mad Mad Mad Mad World,7.7
467. District 9,7.7
468. Mechanic: Resurrection,7.7
469. They Live,7.7
470. Shichinin no samurai,7.7
471. Highlander,7.7
472. Hanna,7.7
473. Willy's Wonderland,7.7
474. X2,7.7
475. The Killer,7.7
476. Day Shift,7.7
477. Collateral,7.7
478. Atlantis: The Lost Empire,7.7
479. Run Hide Fight,7.7
480. Sicario: Day of the Soldado,7.7
481. Last Seen Alive,7.7
482. Mr. & Mrs. Smith,7.7
483. Conan the Destroyer,7.7
484. King Arthur: Legend of the Sword,7.7
485. Kennedy,7.7
486. Tomb Raider,7.7
487. Spiderhead,7.7
488. The Matrix Reloaded,7.7
489. Mortal Engines,7.7
490. Big Hero 6,7.7
491. The Karate Kid,7.7
492. The Hunt for Red October,7.7
493. I Am Legend,7.7
494. The Hunger Games: Mockingjay - Part 1,7.7
495. The Flood,7.7
496. The Forever Purge,7.7
497. Sucker Punch,7.7
498. Above Suspicion,7.7
499. Law Abiding Citizen,7.7
500. The Magnificent Seven,7.7
501. Lightyear,4
502. Planet of the Apes,4
503. Riddick,4
504. Bloodsport,4
505. Romancing the Stone,4
506. Battle of Britain,4
507. Chupa,4
508. Source Code,4
509. Robin Hood: Prince of Thieves,4
510. First Blood,4
511. Clash of the Titans,4
512. Pitch Black,4
513. Ang-ma-reul bo-at-da,4
514. The Life Aquatic with Steve Zissou,4
515. National Treasure,4
516. Dark Phoenix,4
517. G.I. Joe: The Rise of Cobra,4
518. Geostorm,4
519. The Fall Guy,4
520. Perfect Addiction,4
521. Ender's Game,4
522. Rambo: Last Blood,4
523. Sherlock Holmes,4
524. Jason Bourne,4
525. Constantine 2,4
526. Creed II,4
527. Mortal Kombat,4
528. Fantastic Four,4
529. 300: Rise of an Empire,4
530. Furiosa,4
531. Austin Powers: The Spy Who Shagged Me,4
532. Charlie's Angels,4
533. Deep Impact,4
534. GoldenEye,4
535. Mandy,4
536. Bloodshot,4
537. Lethal Weapon,4
538. G.I. Joe: Retaliation,4
539. The Lego Batman Movie,4
540. Desperado,4
541. Borderlands,4
542. 12 Strong,4
543. Under Siege,4
544. Charlie's Angels,4
545. Serenity,4
546. Enemy of the State,4
547. The Harder They Fall,4
548. Rise of the Planet of the Apes,4
549. Street Fighter,4
550. Superman: Legacy,4
551. Smokin' Aces,6.6
552. Samaritan,6.6
553. Kill Bill: Vol. 2,6.6
554. The Punisher,6.6
555. Alien³,6.6
556. Elysium,6.6
557. Polar,6.6
558. Legion,6.6
559. Unbroken,6.6
560. The Bourne Ultimatum,6.6
561. Batoru rowaiaru,6.6
562. The Chronicles of Riddick,6.6
563. Tomorrowland,6.6
564. Dragonball Evolution,6.6
565. Wo hu cang long,6.6
566. The Mummy: Tomb of the Dragon Emperor,6.6
567. Enola Holmes 2,6.6
568. 13 Minutes,6.6
569. Species,6.6
570. Austin Powers in Goldmember,6.6
571. The Fighter,6.6
572. The Predator,6.6
573. Bad Boys,6.6
574. The Man from Toronto,6.6
575. The Core,6.6
576. Kung Fu Panda 4,6.6
577. Deep Blue Sea,6.6
578. Ip Man,6.6
579. The A-Team,6.6
580. The League of Extraordinary Gentlemen,6.6
581. The New Mutants,6.6
582. Cliffhanger,6.6
583. Willow,6.6
584. Cold Pursuit,6.6
585. Underwater,6.6
586. xXx: Return of Xander Cage,6.6
587. Dawn of the Planet of the Apes,6.6
588. Ghost in the Shell,6.6
589. The Book of Eli,6.6
590. RED,6.6
591. Thirteen Lives,6.6
592. Terminator 3: Rise of the Machines,6.6
593. Dracula Untold,6.6
594. The Wolverine,6.6
595. Deepwater Horizon,6.6
596. Logan Lucky,6.6
597. S.W.A.T.,6.6
598. Men in Black: International,6.6
599. The Brothers Grimm,6.6
600. Quantum of Solace,6.6
601. Waterworld,7.2
602. Red One,7.2
603. Serbuan maut,7.2
604. The Chronicles of Narnia: Prince Caspian,7.2
605. Total Recall,7.2
606. Knowing,7.2
607. Flash Gordon,7.2
608. Boss Level,7.2
609. You Only Live Twice,7.2
610. The Locksmith,7.2
611. Liu lang di qiu 2,7.2
612. Blade,7.2
613. The Iron Giant,7.2
614. Teenage Mutant Ninja Turtles: Out of the Shadows,7.2
615. 2 Guns,7.2
616. Assassin Club,7.2
617. The Last Starfighter,7.2
618. Quigley Down Under,7.2
619. Tron,7.2
620. Alien Resurrection,7.2
621. The Last Airbender,7.2
622. Jurassic Park III,7.2
623. Blood Red Sky,7.2
624. War for the Planet of the Apes,7.2
625. The Hitman's Bodyguard,7.2
626. Live Free or Die Hard,7.2
627. How to Train Your Dragon: The Hidden World,7.2
628. Emancipation,7.2
629. Angel Has Fallen,7.2
630. Dick Tracy,7.2
631. Ava,7.2
632. Pandorum,7.2
633. Midnight in the Switchgrass,7.2
634. Havoc,7.2
635. Prince of Persia: The Sands of Time,7.2
636. Kung fu,7.2
637. Hulk,7.2
638. Dragged Across Concrete,7.2
639. Zombieland: Double Tap,7.2
640. The Boondock Saints,7.2
641. Wyatt Earp,7.2
642. 3 Ninjas,7.2
643. Den of Thieves,7.2
644. xXx,7.2
645. Love and Monsters,7.2
646. The Expendables 2,7.2
647. Flags of Our Fathers,7.2
648. A History of Violence,7.2
649. The Bodyguard,7.2
650. The Croods,7.2
651. Young Guns,5.6
652. Kimetsu no Yaiba: Mugen Ressha-Hen,5.6
653. We Can Be Heroes,5.6
654. Punisher: War Zone,5.6
655. Adrift,5.6
"656. Objective, Burma!",5.6
657. The Rundown,5.6
658. Miraculous: Le Film,5.6
659. Terminator Salvation,5.6
660. Medieval,5.6
661. Hercules,5.6
662. Okja,5.6
663. Bloody Daddy,5.6
664. Godzilla x Kong: The New Empire,5.6
665. Kung Fury: The Movie,5.6
666. Point Break,5.6
667. Sin City: A Dame to Kill For,5.6
668. Exodus: Gods and Kings,5.6
669. Per un pugno di dollari,5.6
670. Freddy vs. Jason,5.6
671. Unleashed,5.6
672. Army of Thieves,5.6
673. Ponniyin Selvan: Part Two,5.6
674. The Twilight Saga: Eclipse,5.6
675. Conan the Barbarian,5.6
676. The Sorcerer's Apprentice,5.6
677. Dirty Harry,5.6
678. Kill Bok-soon,5.6
679. Power Rangers,5.6
680. The Lord of the Rings: The War of the Rohirrim,5.6
681. 22 Jump Street,5.6
682. Demolition Man,5.6
683. RoboCop,5.6
684. Ghost Rider,5.6
685. Neugdaesanyang,5.6
686. Equilibrium,5.6
687. The Poseidon Adventure,5.6
688. Blacklight,5.6
689. Blade II,5.6
690. Olympus Has Fallen,5.6
691. Pathaan,5.6
692. Escape from New York,5.6
693. Superman Returns,5.6
694. Transcendence,5.6
695. Le pacte des loups,5.6
696. Those Who Wish Me Dead,5.6
697. The Transporter,5.6
698. Jupiter Ascending,5.6
699. Hitman's Wife's Bodyguard,5.6
700. Alexander,5.6
701. The Last Witch Hunter,6.8
702. Southpaw,6.8
703. Spy Kids,6.8
704. Daredevil,6.8
705. Need for Speed,6.8
706. Central Intelligence,6.8
707. Days of Thunder,6.8
708. News of the World,6.8
709. Rambo: First Blood Part II,6.8
710. The Adventures of Sharkboy and Lavagirl 3-D,6.8
711. No Escape,6.8
712. Salt,6.8
713. The VelociPastor,6.8
714. Kung Pow: Enter the Fist,6.8
715. The 13th Warrior,6.8
716. Custody,6.8
717. 4: Rise of the Silver Surfer,6.8
718. Kingdom of the Planet of the Apes,6.8
719. Clear and Present Danger,6.8
720. Rampage,6.8
721. The World's End,6.8
722. Hitman,6.8
723. Kôkaku kidôtai,6.8
724. Twisters,6.8
725. Spawn,6.8
726. The Rocketeer,6.8
727. Superhero Movie,6.8
728. 28 Weeks Later,6.8
729. The Steel Helmet,6.8
730. End of Watch,6.8
